step,t,car,x,y,yaw_deg,heading_err_deg,progress_cum,lateral,speed,throttle,steer,gap_ahead
120,8.000,B,27.758,8.465,94.8,4.8,31.880,-1.758,5.797,1.000,1.000,5.040
121,8.067,A,25.683,3.791,57.0,-10.5,27.195,-0.114,5.304,1.000,1.000,-5.063
121,8.067,B,27.669,8.843,98.0,8.0,32.258,-1.669,5.796,1.000,1.000,5.063
122,8.133,A,25.824,4.119,60.5,-16.0,27.533,-0.121,5.310,1.000,1.000,-5.098
122,8.133,B,27.560,9.216,101.2,11.2,32.631,-1.560,5.794,1.000,1.000,5.098
123,8.200,A,25.945,4.456,63.9,-12.6,27.889,-0.160,5.316,1.000,1.000,-5.109
123,8.200,B,27.430,9.582,104.4,14.4,32.997,-1.430,5.792,1.000,1.000,5.109
124,8.267,A,26.045,4.799,67.4,-9.1,28.246,-0.177,5.322,1.000,1.000,-5.110
124,8.267,B,27.279,9.941,107.6,17.6,33.356,-1.279,5.791,1.000,1.000,5.110
125,8.333,A,26.125,5.148,70.9,-14.6,28.576,-0.191,5.328,1.000,1.000,-5.129
125,8.333,B,27.109,10.290,110.8,20.8,33.705,-1.109,5.789,1.000,0.538,5.129
126,8.400,A,26.183,5.502,74.4,-11.1,28.933,-0.221,5.334,1.000,1.000,-5.115
126,8.400,B,26.923,10.633,113.6,23.6,34.048,-0.923,5.839,1.000,-1.000,5.115
127,8.467,A,26.220,5.859,77.8,-7.7,29.292,-0.230,5.340,1.000,1.000,-5.097
127,8.467,B,26.734,10.974,115.7,25.7,34.389,-0.734,5.852,1.000,-1.000,5.097
128,8.533,A,26.235,6.218,81.3,-8.7,29.633,-0.235,5.346,1.000,1.000,-5.099
128,8.533,B,26.546,11.317,116.8,26.8,34.732,-0.546,5.857,1.000,-1.000,5.099
129,8.600,A,26.229,6.578,84.8,-5.2,29.993,-0.229,5.352,1.000,1.000,-5.088
129,8.600,B,26.371,11.666,116.7,26.7,35.081,-0.371,5.850,1.000,-1.000,5.088
130,8.667,A,26.200,6.937,88.3,-1.7,30.352,-0.200,5.358,1.000,1.000,-5.082
130,8.667,B,26.207,12.020,116.0,26.0,35.435,-0.207,5.839,1.000,-1.000,5.082
131,8.733,A,26.151,7.294,91.7,1.7,30.709,-0.151,5.363,1.000,0.135,-5.084
131,8.733,B,26.057,12.379,114.7,24.7,35.794,-0.057,5.827,1.000,-1.000,5.084
132,8.800,A,26.088,7.650,94.7,4.7,31.065,-0.088,5.414,1.000,-0.627,-5.093
132,8.800,B,25.922,12.743,113.0,23.0,36.158,0.078,5.816,1.000,-1.000,5.093
133,8.867,A,26.029,8.009,96.2,6.2,31.424,-0.029,5.452,1.000,-1.000,-5.104
133,8.867,B,25.804,13.113,111.0,21.0,36.528,0.196,5.805,1.000,-0.629,5.104
